"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"blood red sky",2021,NA,"Action","Horror","Thriller",6.1,"Peter Thorwarth",NA,"Peri Baumeister","Carl Anton Koch"," Alexander Scheer","Kais Setti",21062,121,NA,"movie"
"army of thieves",2021,NA,"Action","Crime","Horror",NA,"Matthias Schweighöfer",NA,"Matthias Schweighöfer","Nathalie Emmanuel"," Ruby O. Fee","Stuart Martin",NA,NA,NA,"movie"
"the last letter from your lover",2021,NA,"Drama","Romance",NA,6.8,"Augustine Frizzell",NA,"Shailene Woodley","Joe Alwyn"," Wendy Nottingham","Felicity Jones",5283,110,NA,"movie"
"gunpowder milkshake",2021,NA,"Action","Adventure","Thriller",6,"Navot Papushado",NA,"Karen Gillan","Lena Headey"," Carla Gugino","Michelle Yeoh",17989,114,NA,"movie"
"fear street: 1994",2021,NA,"Drama","Horror","Mystery",6.2,"Leigh Janiak",NA,"Kiana Madeira","Olivia Scott Welch"," Benjamin Flores Jr.","Julia Rehwald",50148,107,NA,"movie"
"fear street: 1978",2021,NA,"Drama","Horror","Mystery",6.8,"Leigh Janiak",NA,"Sadie Sink","Emily Rudd"," Ryan Simpkins","McCabe Slye",36634,109,NA,"movie"
"fear street: 1666",2021,NA,"Horror","Mystery",NA,6.7,"Leigh Janiak",NA,"Kiana Madeira","Ashley Zukerman"," Gillian Jacobs","Olivia Scott Welch",27447,114,NA,"movie"
"ncis: naval criminal investigative service",2003,NA,"Action","Crime","Drama",7.7,NA,NA,"Mark Harmon","David McCallum"," Sean Murray","Pauley Perrette",125619,60,NA,"movie"
"army of the dead",2021,NA,"Action","Crime","Horror",5.8,"Zack Snyder",NA,"Dave Bautista","Ella Purnell"," Ana de la Reguera","Omari Hardwick",132378,148,NA,"movie"
"365 dni",2020,NA,"Drama","Romance",NA,3.3,"Barbara Bialowas","
Tomasz Mandes
","Anna Maria Sieklucka","Michele Morrone"," Bronislaw Wroclawski","Otar Saralidze",63620,114,NA,"movie"
"legends of tomorrow",2016,NA,"Action","Adventure","Drama",6.8,NA,NA,"Caity Lotz","Amy Louise Pemberton"," Dominic Purcell","Nick Zano",95897,42,NA,"movie"
"le dernier mercenaire",2021,NA,"Action","Comedy",NA,5.4,"David Charhon",NA,"Jean-Claude Van Damme","Alban Ivanov"," Samir Decazza","Assa Sylla",2606,110,NA,"movie"
"resort to love",2021,NA,"Comedy","Romance",NA,5.7,"Steven K. Tsuchida",NA,"Christina Milian","Tymberlee Hill"," Kayne Lee Harrison","Ruth Nadler-Nir",1591,101,NA,"movie"
"a classic horror story",2021,NA,"Drama","Horror","Mystery",5.7,"Roberto De Feo","
Paolo Strippoli
","Matilda Anna Ingrid Lutz","Francesco Russo"," Peppino Mazzotta","Will Merrick",8822,95,NA,"movie"
