"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"masters of the universe: revelation",2021,NA,"Animation","Action","Adventure",5,NA,NA,"Chris Wood","Sarah Michelle Gellar"," Lena Headey","Mark Hamill",17870,25,NA
"the walking dead",2010,2022,"Drama","Horror","Thriller",8.2,NA,NA,"Andrew Lincoln","Norman Reedus"," Melissa McBride","Lauren Cohan",885805,44,NA
"rick and morty",2013,NA,"Animation","Adventure","Comedy",9.2,NA,NA,"Justin Roiland","Chris Parnell"," Spencer Grammer","Sarah Chalke",414849,23,NA
"outer banks",2020,NA,"Action","Crime","Drama",7.6,NA,NA,"Chase Stokes","Madelyn Cline"," Madison Bailey","Jonathan Daviss",25858,50,NA
"dexter",2006,2013,"Crime","Drama","Mystery",8.6,NA,NA,"Michael C. Hall","Jennifer Carpenter"," David Zayas","James Remar",665387,53,NA
"never have i ever",2020,NA,"Comedy",NA,NA,7.9,NA,NA,"Maitreyi Ramakrishnan","Poorna Jagannathan"," Darren Barnet","John McEnroe",34530,30,NA
"virgin river",2019,NA,"Drama","Romance",NA,7.4,NA,NA,"Alexandra Breckenridge","Martin Henderson"," Colin Lawrence","Tim Matheson",27279,44,NA
"lucifer",2016,2021,"Crime","Drama","Fantasy",8.1,NA,NA,"Tom Ellis","Lesley-Ann Brandt"," Lauren German","D.B. Woodside",264222,42,NA
"sex/life",2021,NA,"Comedy","Drama","Romance",5.4,NA,NA,"Sarah Shahi","Mike Vogel"," Adam Demos","Margaret Odette",12172,NA,NA
"american horror story",2011,NA,"Drama","Horror","Thriller",8,NA,NA,"Lady Gaga","Kathy Bates"," Angela Bassett","Sarah Paulson",286488,60,NA
"grey's anatomy",2005,NA,"Drama","Romance",NA,7.5,NA,NA,"Ellen Pompeo","Chandra Wilson"," James Pickens Jr.","Justin Chambers",266258,41,NA
"breaking bad",2008,2013,"Crime","Drama","Thriller",9.4,NA,NA,"Bryan Cranston","Aaron Paul"," Anna Gunn","Betsy Brandt",1552311,49,NA
"the good doctor",2017,NA,"Drama",NA,NA,8.1,NA,NA,"Freddie Highmore","Hill Harper"," Richard Schiff","Antonia Thomas",70871,41,NA
